1.956597256781394378e+01 1.289854302351695310e+02 1.174936857928590825e+03 2.388040119333605205e+01 1.592900121428934597e+02 1.744283149287966125e+03
1.776114048176492943e+01 1.169479631869210863e+02 1.008224474334252591e+03 2.135255595391842576e+01 1.420702307376484441e+02 1.461967238688486759e+03
1.679662930653393005e+01 1.105256284246388105e+02 9.193700309734883831e+02 2.000209880313148503e+01 1.328734139041351057e+02 1.311311530572225138e+03
1.257595444523451711e+01 8.134649106602238078e+01 5.065181735304120707e+02 1.405721961828319699e+01 9.201230850923049331e+01 6.293433363610241713e+02
1.493436740850541433e+01 9.809959989020653381e+01 7.472283651034879313e+02 1.739358898659598651e+01 1.151028052071016532e+02 1.019899451432343540e+03
1.288984933063619742e+01 8.369072727782229038e+01 5.411132433498423779e+02 1.450501168348652037e+01 9.515129154961745428e+01 6.837437949313502941e+02
1.893944777629394594e+01 1.248102106794732435e+02 1.117142111595856250e+03 2.300303344551231177e+01 1.533141793512031086e+02 1.646350868255765590e+03
1.327814170117348525e+01 8.659352309378347456e+01 5.839730602994949322e+02 1.505900666363232077e+01 9.903610055925204847e+01 7.511022755061330827e+02
1.444506708983293031e+01 9.484197369299377556e+01 7.021622775181953102e+02 1.670851532942026196e+01 1.104374590394002098e+02 9.434803939025590580e+02
1.205983978532056611e+01 7.748861578842040387e+01 4.495602548701255614e+02 1.332086631371431729e+01 8.684896556191259265e+01 5.398218707902117330e+02
1.769837375886292463e+01 1.165352187027930171e+02 1.002559172819923447e+03 2.126488806840432844e+01 1.414744562897896287e+02 1.452269222555543820e+03
1.380235407741765741e+01 9.051190838733964483e+01 6.418242111182206600e+02 1.580691272196980357e+01 1.042804431491849044e+02 8.420278932645620671e+02
1.826598812145181228e+01 1.203217466520296597e+02 1.055007290033225672e+03 2.205992016829706870e+01 1.468904349357467254e+02 1.541072667980571396e+03
1.278340173746147279e+01 8.289699724530632352e+01 5.294089882291924596e+02 1.435318662630181485e+01 9.408758316046782966e+01 6.653227922646060506e+02
1.264262610086259997e+01 8.184569113147544783e+01 5.138946134292408487e+02 1.415236164573540201e+01 9.267983487212255511e+01 6.409260818593826343e+02
1.532432243962771246e+01 1.007049236292208150e+02 7.833495845415131953e+02 1.793994491955960058e+01 1.188256887812755593e+02 1.080988727105120461e+03
1.340761623093237276e+01 8.756280671857592779e+01 5.982945966274808143e+02 1.524376633005053705e+01 1.003323250162109161e+02 7.735923867514968606e+02
1.512288765873086760e+01 9.936172600832534840e+01 7.647495158566171085e+02 1.765782752161102920e+01 1.169039634015243649e+02 1.049485707001094397e+03
2.084624287296643530e+01 1.375224135694108440e+02 1.293153163337544584e+03 2.567346833417705554e+01 1.715040019447853865e+02 1.944507576060323572e+03
1.098618398812955022e+01 6.946729656833143451e+01 3.311632406554693944e+02 1.178915267061151084e+01 7.611039865176277885e+01 3.536827939924635302e+02
1.182373854589644147e+01 7.572656576073288193e+01 4.235657344172122976e+02 1.298408074912623000e+01 8.448868280409827491e+01 4.989300384602581175e+02
1.073334177262880118e+01 6.757912102145465383e+01 3.032992712087819882e+02 1.142845884113093113e+01 7.358201526125154146e+01 3.098655594962397117e+02
